 step x U(x,tlim)
 0 0. 0.75
 1 0.01 0.75
 2 0.02 0.75
 3 0.03 0.75
 4 0.04 0.75
 5 0.049999997 0.75
 6 0.06 0.75
 7 0.07 0.75
 8 0.08 0.75
 9 0.089999996 0.75
 10 0.099999994 0.75
 11 0.11 0.75
 12 0.12 0.75
 13 0.13 0.75
 14 0.14 0.75
 15 0.14999999 0.75
 16 0.16 0.75
 17 0.17 0.75
 18 0.17999999 0.75
 19 0.19 0.75
 20 0.19999999 0.75
 21 0.21 0.75
 22 0.22 0.75
 23 0.22999999 0.75
 24 0.24 0.75
 25 0.25 0.75
 26 0.26 0.75
 27 0.26999998 0.75
 28 0.28 0.75
 29 0.29 0.75
 30 0.29999998 0.75
 31 0.31 0.75
 32 0.32 0.75
 33 0.32999998 0.75
 34 0.34 0.75
 35 0.35 0.75
 36 0.35999998 0.75
 37 0.37 0.75
 38 0.38 0.75
 39 0.39 0.75
 40 0.39999998 0.75
 41 0.41 0.75
 42 0.42 0.74999994
 43 0.42999998 0.7499995
 44 0.44 0.749998
 45 0.45 0.7499926
 46 0.45999998 0.74997574
 47 0.47 0.74992734
 48 0.48 0.74979925
 49 0.48999998 0.7494863
 50 0.5 0.7487779
 51 0.51 0.7472903
 52 0.52 0.74438596
 53 0.53 0.73910534
 54 0.53999996 0.7301512
 55 0.55 0.71597385
 56 0.56 0.69499135
 57 0.57 0.6659386
 58 0.58 0.6282778
 59 0.59 0.5825468
 60 0.59999996 0.53050804
 61 0.61 0.47500002
 62 0.62 0.419492
 63 0.63 0.36745322
 64 0.64 0.32172215
 65 0.65 0.2840613
 66 0.65999997 0.25500864
 67 0.66999996 0.23402616
 68 0.68 0.21984881
 69 0.69 0.21089467
 70 0.7 0.20561405
 71 0.71 0.2027097
 72 0.71999997 0.20122212
 73 0.72999996 0.20051375
 74 0.74 0.20020074
 75 0.75 0.2000727
 76 0.76 0.20002434
 77 0.77 0.2000075
 78 0.78 0.20000213
 79 0.78999996 0.20000055
 80 0.79999995 0.20000014
 81 0.81 0.20000003
 82 0.82 0.20000002
 83 0.83 0.20000002
 84 0.84 0.20000002
 85 0.84999996 0.20000002
 86 0.85999995 0.20000002
 87 0.87 0.20000002
 88 0.88 0.20000002
 89 0.89 0.20000002
 90 0.9 0.20000002
 91 0.90999997 0.20000002
 92 0.91999996 0.2
 93 0.93 0.2
 94 0.94 0.2
 95 0.95 0.2
 96 0.96 0.2
 97 0.96999997 0.2
 98 0.97999996 0.2
 99 0.98999995 0.2
 100 1. 0.2
 101 1.01 0.2
