 step x U(x,t)
 1 0.01 0.75
 2 0.02 0.75
 3 0.03 0.75
 4 0.04 0.75
 5 0.049999997 0.75
 6 0.06 0.75
 7 0.07 0.75
 8 0.08 0.75
 9 0.089999996 0.75
 10 0.099999994 0.75
 11 0.11 0.75
 12 0.12 0.75
 13 0.13 0.75
 14 0.14 0.75
 15 0.14999999 0.75
 16 0.16 0.75
 17 0.17 0.75
 18 0.17999999 0.75
 19 0.19 0.75
 20 0.19999999 0.75
 21 0.21 0.75
 22 0.22 0.75
 23 0.22999999 0.75
 24 0.24 0.75
 25 0.25 0.75
 26 0.26 0.75
 27 0.26999998 0.75
 28 0.28 0.75
 29 0.29 0.75
 30 0.29999998 0.75
 31 0.31 0.75
 32 0.32 0.75
 33 0.32999998 0.74999976
 34 0.34 0.7499977
 35 0.35 0.74998367
 36 0.35999998 0.74991065
 37 0.37 0.7496065
 38 0.38 0.7485637
 39 0.39 0.7455657
 40 0.39999998 0.7382372
 41 0.41 0.7228473
 42 0.42 0.6948657
 43 0.42999998 0.6505615
 44 0.44 0.5892172
 45 0.45 0.5147277
 46 0.45999998 0.4352723
 47 0.47 0.36078283
 48 0.48 0.29943854
 49 0.48999998 0.25513434
 50 0.5 0.22715273
 51 0.51 0.21176285
 52 0.52 0.20443434
 53 0.53 0.2014363
 54 0.53999996 0.2003935
 55 0.55 0.20008937
 56 0.56 0.20001638
 57 0.57 0.20000234
 58 0.58 0.20000026
 59 0.59 0.20000003
 60 0.59999996 0.20000002
 61 0.61 0.2
 62 0.62 0.2
 63 0.63 0.2
 64 0.64 0.2
 65 0.65 0.2
 66 0.65999997 0.2
 67 0.66999996 0.2
 68 0.68 0.2
 69 0.69 0.2
 70 0.7 0.2
 71 0.71 0.2
 72 0.71999997 0.2
 73 0.72999996 0.2
 74 0.74 0.2
 75 0.75 0.2
 76 0.76 0.2
 77 0.77 0.2
 78 0.78 0.2
 79 0.78999996 0.2
 80 0.79999995 0.2
 81 0.81 0.2
 82 0.82 0.2
 83 0.83 0.2
 84 0.84 0.2
 85 0.84999996 0.2
 86 0.85999995 0.2
 87 0.87 0.2
 88 0.88 0.2
 89 0.89 0.2
 90 0.9 0.2
 91 0.90999997 0.2
 92 0.91999996 0.2
 93 0.93 0.2
 94 0.94 0.2
 95 0.95 0.2
 96 0.96 0.2
 97 0.96999997 0.2
 98 0.97999996 0.2
 99 0.98999995 0.2
 100 1. 0.2
